id,nameFirst,nameLast,origin,likert.valuesFriendship,likert.valuesFamily,likert.valuesCommunity,likert.valuesSelf,likert.valuesFaith,likert.valuesEducation,likert.valuesHealth,likert.valuesStrength,semDiff.dogCat,semDiff.donutMunchkins,semDiff.cakePie,semDiff.steelersPirates
hcurson739,Huey,Curson,MA,1,1,2,4,5,5,1,1,1,3,4,3
jschiffert703,Joaquin,Schiffert,NE,4,3,5,1,5,1,2,1,4,1,4,1
aheimbuch824,Amina,Heimbuch,LA,3,3,5,5,4,4,3,3,2,4,1,4
idueitt372,Ivana,Dueitt,PA,2,2,2,1,5,4,2,4,1,3,4,2
fkhalifah795,Fernando,Khalifah,IL,4,2,1,5,3,5,3,4,1,5,3,5
cbenoist211,Clifford,Benoist,AZ,5,4,2,2,3,1,3,2,4,1,4,1
rconliffe50,Rueben,Conliffe,TN,3,3,3,5,2,4,4,5,3,1,2,1
awimer12,Alisha,Wimer,NC,3,5,2,3,1,4,2,5,5,3,4,5
eanez53,Erik,Anez,WA,3,1,4,2,3,4,3,4,3,2,2,3
edeahl507,Eleanora,Deahl,LA,4,3,2,2,1,3,4,5,3,4,3,4
eell98,Eun,Ell,FL,5,1,4,5,1,2,5,3,4,1,1,3
dvanskiver724,Daniele,Vanskiver,SC,2,5,2,1,2,1,4,1,5,2,5,5
aharrer560,Anjanette,Harrer,MA,5,3,1,3,2,1,5,2,4,2,1,1
hbrendal817,Hobert,Brendal,TX,5,1,4,3,3,5,1,3,5,3,1,1
mseise99,Moriah,Seise,MO,5,5,4,2,1,2,2,2,3,2,1,2
kstinchfie27,Kit,Stinchfield,PA,2,1,3,4,1,3,1,4,5,5,4,3
ahelmlinge530,Aracely,Helmlinger,NM,2,4,5,1,1,2,1,2,1,4,4,2
mcarducci398,Mckinley,Carducci,ID,5,2,1,3,3,5,5,4,2,2,4,2
dvolle75,Dave,Volle,TX,4,1,3,3,4,5,1,2,1,5,4,4
aillig782,Alberto,Illig,LA,5,3,2,5,3,5,4,3,2,1,1,2
ctrevizo965,Charles,Trevizo,MO,5,3,2,5,5,4,2,4,3,1,2,5
hplaas761,Henriette,Plaas,AL,3,5,3,1,3,5,2,3,4,1,1,5
lplantz602,Lincoln,Plantz,CA,2,2,3,3,3,4,2,4,5,2,4,2
epipes240,Esta,Pipes,VA,4,2,2,3,3,2,3,1,4,4,1,5
klichota463,Khalilah,Lichota,RI,3,2,4,2,1,4,4,3,4,4,4,1
dbredeson816,Divina,Bredeson,OH,2,3,5,2,5,5,4,5,2,2,2,2
tmchaney633,Terry,Mchaney,WV,3,2,3,1,4,5,1,1,3,5,2,3
ssurwillo424,Shanna,Surwillo,ND,3,2,1,3,2,4,1,1,3,2,3,3
jshaw904,Jude,Shaw,PA,3,1,3,1,1,4,3,4,2,5,5,2
jstoute505,Jeffrey,Stoute,NH,1,1,2,5,2,2,4,5,1,2,5,5
csustaire261,Clint,Sustaire,CO,1,1,1,5,4,5,5,3,4,5,1,5
csanger776,Clement,Sanger,ME,3,4,3,3,5,3,5,5,2,1,4,1
apolicicch685,Alexis,Policicchio,OK,4,4,1,2,5,5,4,1,3,2,5,1
tpunches148,Travis,Punches,WI,2,3,3,4,2,2,1,1,3,2,1,1
lsorzano992,Leana,Sorzano,NM,1,4,5,1,5,5,3,2,1,3,4,1
lmanon241,Ling,Manon,CO,4,2,3,3,5,4,5,2,5,3,1,4
dkilgallon543,Doria,Kilgallon,MN,5,2,4,5,3,1,4,2,4,3,5,3
dkopin79,Doyle,Kopin,OR,2,3,1,3,5,1,3,5,5,4,2,2
cbruccoler889,Collene,Bruccoleri,MT,1,4,1,2,5,2,1,1,4,1,1,4
cpolowy277,Celia,Polowy,HI,1,4,5,2,2,2,3,2,5,3,2,2
bsarria715,Beth,Sarria,NC,3,2,2,5,5,2,2,4,5,2,5,4
rwigington248,Rachele,Wigington,FL,3,3,2,4,4,3,4,4,5,2,2,2
mpeatman696,Madeleine,Peatman,CT,1,2,3,2,3,1,3,3,5,5,4,1
clory259,Clarisa,Lory,MS,3,2,5,1,2,3,3,1,5,4,5,4
rhavice437,Rufina,Havice,NJ,2,2,3,3,5,2,3,1,5,4,2,3
rhuettman756,Rachelle,Huettman,SD,4,4,3,1,2,1,4,1,1,1,4,2
srosek193,Sunday,Rosek,WI,1,5,1,5,3,5,2,5,3,3,3,5
lstreng379,Leo,Streng,AZ,4,4,5,5,1,5,2,2,4,3,5,5
nralat211,Neal,Ralat,NV,5,1,1,1,4,5,2,5,2,5,4,3
bdyment619,Buford,Dyment,SC,2,1,2,3,5,5,3,3,3,4,5,1
