id,nameFirst,nameLast,origin,likert.valuesFriendship,likert.valuesFamily,likert.valuesCommunity,likert.valuesSelf,likert.valuesFaith,likert.valuesEducation,likert.valuesHealth,likert.valuesStrength,semDiff.dogCat,semDiff.donutMunchkins,semDiff.cakePie,semDiff.steelersPirates
kgriffins587,Kermit,Griffins,MA,5,4,1,4,3,1,5,2,4,2,4,1
jbluel499,Jesse,Bluel,NV,5,5,2,2,5,1,2,4,4,5,4,4
hbeser183,Hal,Beser,IL,4,1,4,3,4,3,1,4,5,2,1,4
zlauniere486,Zane,Launiere,SD,1,3,1,5,3,2,5,5,2,2,1,1
evonbargen380,Earlean,Vonbargen,HI,4,3,5,2,2,1,2,5,1,3,1,4
sharriger599,Samuel,Harriger,IL,3,3,2,1,1,5,4,1,3,1,1,4
bmanor365,Brinda,Manor,GA,5,2,3,5,1,5,5,2,5,3,2,3
gnorthover677,Gregory,Northover,KY,3,1,3,2,5,4,2,1,1,5,3,4
dglazier458,Drema,Glazier,AZ,4,2,4,3,5,3,4,4,3,3,5,2
tlettman655,Toi,Lettman,NM,4,5,4,3,4,5,4,4,1,2,3,2
wlumantas501,Williams,Lumantas,SC,5,3,5,3,2,2,3,5,2,1,1,2
pbadon245,Pat,Badon,NV,1,3,5,3,1,2,3,2,1,3,4,3
vdecourt983,Valerie,Decourt,VT,5,2,5,4,1,4,5,5,4,3,3,2
aveitz163,Ahmed,Veitz,MT,4,4,2,3,3,1,1,2,2,4,5,2
dmagnano85,Darrick,Magnano,CA,5,1,2,3,2,4,1,1,5,3,5,5
ddellavall118,Deandre,Dellavalle,SD,3,5,4,5,2,1,3,3,1,1,2,2
amccallie778,Arleen,Mccallie,DE,5,3,2,3,4,5,4,1,5,1,4,2
hlevitsky362,Hisako,Levitsky,AZ,1,3,5,4,1,5,2,3,1,2,4,1
wodonnell363,Weldon,Odonnell,TX,3,4,3,3,4,1,1,3,5,1,2,1
lrudasill451,Latarsha,Rudasill,NV,2,1,4,4,4,1,4,3,3,5,5,2
mdicorcia777,Melodi,Dicorcia,SD,5,2,5,5,3,2,1,1,4,5,5,3
tpounds380,Timmy,Pounds,NM,5,5,4,3,1,1,2,4,5,3,3,1
amuffolett338,Alicia,Muffoletto,NJ,2,3,2,3,5,3,3,1,4,1,5,4
dheilbrun349,Delmar,Heilbrun,IN,3,2,3,1,4,3,2,4,4,2,2,3
jmessana305,James,Messana,MA,3,5,2,3,2,2,1,1,3,3,1,4
cmendesa863,Charles,Mendesa,VA,3,2,5,2,3,5,1,2,3,1,1,4
ltempelton232,Lawanna,Tempelton,WI,1,5,4,5,1,5,1,2,4,4,1,4
cletterlou513,Cathrine,Letterlough,NH,3,1,4,1,4,2,4,4,5,1,3,3
jdejoseph806,Jannet,Dejoseph,SC,5,2,1,1,4,1,2,2,1,1,4,3
lscher544,Loma,Scher,UT,3,5,2,2,2,3,2,3,3,4,2,1
wboomer337,Winfred,Boomer,HI,1,4,4,5,3,3,5,3,4,3,5,5
jstrider897,Jerrie,Strider,NY,1,5,5,4,4,2,5,2,1,4,3,2
sternasky518,Sherise,Ternasky,NY,1,5,5,5,4,2,3,4,5,3,4,2
shaferkamp379,Sandy,Haferkamp,CA,2,1,1,5,4,4,4,3,4,4,3,2
dricciarde515,Deon,Ricciardelli,OR,4,2,2,5,4,4,1,2,4,3,5,5
mmcgarr209,Muoi,Mcgarr,OH,4,1,4,4,2,5,1,5,2,3,3,5
syerke719,Salvador,Yerke,NM,4,5,4,4,2,3,5,1,5,3,2,3
mreazer987,Maricruz,Reazer,LA,5,1,3,3,4,1,1,1,4,3,4,4
slaclair870,Sunni,Laclair,AZ,5,2,4,5,5,2,3,5,2,1,5,2
seckles96,See,Eckles,OK,3,2,5,3,5,2,4,4,2,2,2,2
ahind29,Alda,Hind,MT,3,5,4,3,2,4,3,4,2,3,4,2
ebhatnagar385,Ebonie,Bhatnagar,WI,3,3,1,2,5,5,1,2,1,1,5,5
fbrak723,Fausto,Brak,AR,4,4,5,5,1,1,4,1,1,4,2,1
wdiskind376,Willis,Diskind,MI,4,1,2,3,1,3,2,1,4,1,4,5
bshapin319,Billy,Shapin,ND,3,4,1,3,2,3,2,1,4,5,1,4
mangviano275,Mariela,Angviano,NV,1,2,1,3,5,5,4,5,2,2,1,4
glico160,Gerard,Lico,GA,1,1,5,1,1,2,1,2,1,2,4,5
maloan919,Maynard,Aloan,ME,5,1,2,1,4,1,1,3,5,3,3,1
lmcgartlan523,Linwood,Mcgartland,LA,3,1,4,5,3,3,3,4,2,1,5,3
nmihalios966,Nakesha,Mihalios,MI,4,3,2,1,5,4,1,2,2,5,4,4
rmorada17,Rupert,Morada,MN,1,4,3,1,2,4,2,2,1,3,2,3
acontes672,Albert,Contes,WA,4,2,2,5,1,2,4,5,1,2,2,2
cstepien917,Christine,Stepien,WI,4,4,4,3,1,2,1,2,3,5,5,2
eoehl374,Evangeline,Oehl,NE,2,4,4,4,2,2,5,5,4,5,1,5
mballin144,Moon,Ballin,WV,3,4,4,1,1,3,3,1,3,3,3,5
rburtner57,Rigoberto,Burtner,AR,1,1,5,3,1,2,4,3,1,2,1,5
cboyden4,Cayla,Boyden,NH,4,1,1,4,3,5,4,2,5,1,4,1
jheger527,Jeramy,Heger,MA,4,2,4,4,3,5,2,1,5,5,1,3
shinzman938,Stepanie,Hinzman,FL,3,2,2,3,4,1,1,5,4,5,5,1
lcova707,Logan,Cova,OK,4,1,1,5,3,1,4,5,3,1,2,2
ataverner849,Alycia,Taverner,IL,4,4,2,3,5,3,1,5,1,3,2,1
tdenick326,Travis,Denick,ME,2,1,1,4,3,5,3,3,4,1,4,2
apeckens117,Adrienne,Peckens,IL,2,4,1,2,3,1,3,5,3,4,2,3
jmazar284,Jamar,Mazar,SC,1,1,2,5,5,5,5,5,4,3,5,3
wburgher75,Wendell,Burgher,MN,4,4,1,1,4,4,3,2,3,4,1,2
gbrinkhaus376,Giovanni,Brinkhaus,MT,3,5,4,5,5,2,3,4,2,1,5,3
fscheule155,Flossie,Scheule,SC,1,2,4,2,5,3,4,2,1,4,5,3
smossor418,Solomon,Mossor,MT,2,3,4,4,1,2,5,5,4,3,5,1
pstapels545,Paris,Stapels,IN,2,1,1,2,4,5,1,1,1,4,4,5
rsenna64,Rafael,Senna,MI,3,2,5,5,3,2,4,3,1,3,5,1
gvilven854,Gabriele,Vilven,NH,4,3,5,2,2,2,4,4,4,4,1,2
rgrussing36,Rudy,Grussing,CA,1,5,4,4,1,2,2,3,3,3,3,5
dhussaini295,Delbert,Hussaini,OH,5,5,3,4,3,1,4,4,3,2,1,2
lverma966,Lance,Verma,NV,3,4,3,4,2,3,1,4,4,5,5,1
hproctor859,Harland,Proctor,OK,5,3,5,4,2,2,5,3,2,3,4,2
ndunlow960,Nicola,Dunlow,RI,2,1,2,1,4,3,2,4,3,1,1,1
bgershon569,Brain,Gershon,FL,5,4,2,3,3,2,4,5,4,3,1,2
bcooke457,Bobbie,Cooke,UT,5,5,1,3,2,1,4,2,3,1,2,2
sballa927,Sylvia,Balla,AZ,1,4,2,4,2,4,4,5,4,1,4,1
swhitbread326,Stephane,Whitbread,PA,5,3,5,1,5,2,4,1,2,2,3,4
gtyrus767,Guadalupe,Tyrus,AR,1,3,5,2,5,4,1,3,1,5,3,1
coatridge108,Calandra,Oatridge,ME,5,4,1,4,5,2,1,3,1,4,1,5
dbisonette171,Delana,Bisonette,ID,2,5,1,1,2,4,3,3,1,2,2,3
tmiesner49,Theresa,Miesner,CO,2,3,5,5,1,1,1,2,1,4,1,2
rpersonius968,Ron,Personius,IN,1,2,5,4,3,2,4,4,2,2,4,5
tkozlak422,Truman,Kozlak,SC,2,5,3,2,1,2,3,3,2,4,3,5
mvalderram444,Myles,Valderrama,ND,5,1,2,2,5,4,2,2,1,1,3,4
rhanrahan405,Randee,Hanrahan,LA,5,1,1,3,3,1,5,2,3,2,1,5
wscovell913,Winford,Scovell,TX,3,5,1,1,1,1,1,5,4,2,5,4
abindas365,Alfred,Bindas,MT,4,2,4,2,5,5,5,3,5,2,4,4
bsluka77,Bettye,Sluka,PA,4,4,1,5,3,1,4,3,4,3,4,3
aalsina236,Ardith,Alsina,OR,4,3,3,3,4,3,2,1,4,1,1,3
gsherril200,Gwyn,Sherril,KY,3,5,2,2,1,3,4,2,5,2,2,4
