id,nameFirst,nameLast,time,Math,Chemistry,History,Computer Science,French,Biology,Physics
jcarias640,Jason,Carias,20,"{'rating': 3, 'preference': 4}","{'rating': 4, 'preference': 5}","{'rating': 4, 'preference': 1}","{'rating': 3, 'preference': 4}","{'rating': 3, 'preference': 1}","{'rating': 2, 'preference': 5}","{'rating': 1, 'preference': 3}"
mkatzman139,Miriam,Katzman,10,"{'rating': 2, 'preference': 4}","{'rating': 5, 'preference': 5}","{'rating': 3, 'preference': 4}","{'rating': 3, 'preference': 4}","{'rating': 3, 'preference': 4}","{'rating': 5, 'preference': 5}","{'rating': 2, 'preference': 5}"
cmatteucci2,Christia,Matteucci,15,"{'rating': 1, 'preference': 2}","{'rating': 4, 'preference': 4}","{'rating': 3, 'preference': 2}","{'rating': 4, 'preference': 3}","{'rating': 1, 'preference': 5}","{'rating': 4, 'preference': 2}","{'rating': 3, 'preference': 5}"
abaldomero672,Allyn,Baldomero,10,"{'rating': 1, 'preference': 5}","{'rating': 2, 'preference': 5}","{'rating': 2, 'preference': 4}","{'rating': 2, 'preference': 4}","{'rating': 1, 'preference': 2}","{'rating': 1, 'preference': 4}","{'rating': 5, 'preference': 5}"
rhamamoto252,Ronald,Hamamoto,10,"{'rating': 4, 'preference': 1}","{'rating': 3, 'preference': 2}","{'rating': 3, 'preference': 4}","{'rating': 4, 'preference': 4}","{'rating': 5, 'preference': 3}","{'rating': 3, 'preference': 1}","{'rating': 2, 'preference': 1}"
nderenberg389,Nestor,Derenberger,5,"{'rating': 5, 'preference': 5}","{'rating': 4, 'preference': 1}","{'rating': 3, 'preference': 5}","{'rating': 1, 'preference': 1}","{'rating': 5, 'preference': 5}","{'rating': 4, 'preference': 1}","{'rating': 1, 'preference': 2}"
wzee937,Wes,Zee,15,"{'rating': 3, 'preference': 4}","{'rating': 4, 'preference': 1}","{'rating': 5, 'preference': 5}","{'rating': 4, 'preference': 1}","{'rating': 4, 'preference': 5}","{'rating': 3, 'preference': 4}","{'rating': 1, 'preference': 5}"
jlegions933,Jung,Legions,15,"{'rating': 3, 'preference': 4}","{'rating': 3, 'preference': 2}","{'rating': 5, 'preference': 4}","{'rating': 5, 'preference': 3}","{'rating': 2, 'preference': 4}","{'rating': 3, 'preference': 4}","{'rating': 4, 'preference': 5}"
kborbon473,Kati,Borbon,10,"{'rating': 4, 'preference': 4}","{'rating': 5, 'preference': 5}","{'rating': 4, 'preference': 2}","{'rating': 5, 'preference': 1}","{'rating': 1, 'preference': 1}","{'rating': 4, 'preference': 5}","{'rating': 4, 'preference': 4}"
syannayon300,Shanti,Yannayon,5,"{'rating': 1, 'preference': 2}","{'rating': 5, 'preference': 5}","{'rating': 3, 'preference': 2}","{'rating': 3, 'preference': 4}","{'rating': 5, 'preference': 3}","{'rating': 2, 'preference': 1}","{'rating': 1, 'preference': 3}"
jgrago310,Jamey,Grago,5,"{'rating': 4, 'preference': 3}","{'rating': 5, 'preference': 4}","{'rating': 2, 'preference': 5}","{'rating': 4, 'preference': 3}","{'rating': 2, 'preference': 3}","{'rating': 2, 'preference': 2}","{'rating': 5, 'preference': 3}"
jbazarte368,Jay,Bazarte,20,"{'rating': 1, 'preference': 1}","{'rating': 1, 'preference': 2}","{'rating': 3, 'preference': 5}","{'rating': 1, 'preference': 1}","{'rating': 3, 'preference': 1}","{'rating': 3, 'preference': 3}","{'rating': 5, 'preference': 4}"
alambino267,Alejandra,Lambino,10,"{'rating': 1, 'preference': 5}","{'rating': 4, 'preference': 2}","{'rating': 5, 'preference': 2}","{'rating': 5, 'preference': 3}","{'rating': 1, 'preference': 5}","{'rating': 4, 'preference': 3}","{'rating': 4, 'preference': 4}"
msorvillo55,Masako,Sorvillo,20,"{'rating': 5, 'preference': 4}","{'rating': 2, 'preference': 5}","{'rating': 2, 'preference': 3}","{'rating': 1, 'preference': 1}","{'rating': 3, 'preference': 3}","{'rating': 1, 'preference': 5}","{'rating': 4, 'preference': 2}"
yliebskind588,Yun,Liebskind,30,"{'rating': 5, 'preference': 1}","{'rating': 4, 'preference': 1}","{'rating': 5, 'preference': 4}","{'rating': 5, 'preference': 2}","{'rating': 1, 'preference': 3}","{'rating': 5, 'preference': 4}","{'rating': 5, 'preference': 2}"
mmetzker763,Modesto,Metzker,10,"{'rating': 3, 'preference': 2}","{'rating': 5, 'preference': 2}","{'rating': 4, 'preference': 3}","{'rating': 2, 'preference': 4}","{'rating': 1, 'preference': 4}","{'rating': 1, 'preference': 2}","{'rating': 3, 'preference': 3}"
lpoole165,Lourie,Poole,20,"{'rating': 4, 'preference': 2}","{'rating': 3, 'preference': 1}","{'rating': 4, 'preference': 4}","{'rating': 3, 'preference': 1}","{'rating': 2, 'preference': 3}","{'rating': 3, 'preference': 5}","{'rating': 3, 'preference': 2}"
lranes939,Lucile,Ranes,10,"{'rating': 2, 'preference': 5}","{'rating': 1, 'preference': 1}","{'rating': 3, 'preference': 4}","{'rating': 4, 'preference': 5}","{'rating': 3, 'preference': 1}","{'rating': 4, 'preference': 5}","{'rating': 3, 'preference': 3}"
sspevacek641,Stuart,Spevacek,5,"{'rating': 1, 'preference': 4}","{'rating': 4, 'preference': 1}","{'rating': 4, 'preference': 2}","{'rating': 3, 'preference': 3}","{'rating': 2, 'preference': 1}","{'rating': 5, 'preference': 1}","{'rating': 2, 'preference': 4}"
