id,nameFirst,nameLast,time,time2,Food,Beverages,Takeout,Music
rnorling105,Raul,Norling,15,20,{'preference': 4},{'preference': 2},{'preference': 2},{'preference': 2}
lkieff455,Lewis,Kieff,20,25,{'preference': 5},{'preference': 1},{'preference': 3},{'preference': 5}
gstefanick966,Gigi,Stefanick,30,15,{'preference': 2},{'preference': 1},{'preference': 4},{'preference': 1}
rhaptonsta738,Rusty,Haptonstall,10,5,{'preference': 3},{'preference': 2},{'preference': 5},{'preference': 3}
trippy339,Tuan,Rippy,30,15,{'preference': 5},{'preference': 4},{'preference': 1},{'preference': 2}
sgaucin909,Stephen,Gaucin,20,15,{'preference': 4},{'preference': 1},{'preference': 2},{'preference': 1}
dshepps899,Dion,Shepps,20,20,{'preference': 1},{'preference': 4},{'preference': 1},{'preference': 1}
galsobrook809,Gayle,Alsobrooks,25,30,{'preference': 2},{'preference': 4},{'preference': 4},{'preference': 2}
mting135,Melani,Ting,15,20,{'preference': 5},{'preference': 1},{'preference': 5},{'preference': 3}
jtronzo347,Johnie,Tronzo,10,20,{'preference': 4},{'preference': 5},{'preference': 4},{'preference': 2}
cortz950,Chana,Ortz,10,25,{'preference': 2},{'preference': 2},{'preference': 4},{'preference': 3}
jzannino854,Johnsie,Zannino,15,10,{'preference': 4},{'preference': 4},{'preference': 3},{'preference': 4}
chermosill267,Charlie,Hermosillo,30,20,{'preference': 3},{'preference': 1},{'preference': 4},{'preference': 5}
fconduff900,Freda,Conduff,30,5,{'preference': 3},{'preference': 1},{'preference': 5},{'preference': 5}
esmithers919,Estrella,Smithers,25,20,{'preference': 3},{'preference': 3},{'preference': 1},{'preference': 2}
mzaiser78,Meggan,Zaiser,5,20,{'preference': 4},{'preference': 3},{'preference': 5},{'preference': 4}
sberens996,Shalanda,Berens,30,30,{'preference': 1},{'preference': 3},{'preference': 4},{'preference': 4}
eraske392,Edwardo,Raske,5,15,{'preference': 5},{'preference': 3},{'preference': 1},{'preference': 5}
emccracken49,Eunice,Mccracken,30,30,{'preference': 3},{'preference': 5},{'preference': 2},{'preference': 1}
sguilmette289,Shayne,Guilmette,20,20,{'preference': 1},{'preference': 1},{'preference': 3},{'preference': 2}
rdeneal700,Rolando,Deneal,20,10,{'preference': 2},{'preference': 1},{'preference': 4},{'preference': 5}
asedbrook174,Adam,Sedbrook,25,20,{'preference': 4},{'preference': 2},{'preference': 4},{'preference': 1}
mbyer64,Moshe,Byer,25,10,{'preference': 3},{'preference': 3},{'preference': 5},{'preference': 5}
esaddler509,Ernesto,Saddler,30,5,{'preference': 5},{'preference': 1},{'preference': 3},{'preference': 2}
lbrayer190,Lianne,Brayer,15,25,{'preference': 5},{'preference': 1},{'preference': 1},{'preference': 2}
ahypolite118,Agatha,Hypolite,15,20,{'preference': 4},{'preference': 3},{'preference': 5},{'preference': 5}
vmarquena887,Venita,Marquena,15,25,{'preference': 5},{'preference': 1},{'preference': 4},{'preference': 1}
cmandelber447,Carmelo,Mandelberg,15,15,{'preference': 3},{'preference': 2},{'preference': 3},{'preference': 1}
wflenard782,Winston,Flenard,25,20,{'preference': 1},{'preference': 3},{'preference': 5},{'preference': 2}
awucherer386,Amos,Wucherer,10,30,{'preference': 2},{'preference': 1},{'preference': 3},{'preference': 3}
astutes389,Antonette,Stutes,20,10,{'preference': 1},{'preference': 3},{'preference': 3},{'preference': 4}
sandris609,Saran,Andris,10,10,{'preference': 1},{'preference': 2},{'preference': 5},{'preference': 4}
wgessford672,Waylon,Gessford,20,30,{'preference': 3},{'preference': 3},{'preference': 3},{'preference': 5}
mbleser226,Merle,Bleser,30,10,{'preference': 4},{'preference': 4},{'preference': 4},{'preference': 5}
kcouturier287,Kimberley,Couturier,30,15,{'preference': 2},{'preference': 5},{'preference': 5},{'preference': 2}
cdiruzzo381,Clement,Diruzzo,25,15,{'preference': 4},{'preference': 4},{'preference': 1},{'preference': 3}
iwashurn619,Isaiah,Washurn,30,30,{'preference': 4},{'preference': 4},{'preference': 1},{'preference': 4}
vdaluz516,Venice,Daluz,10,15,{'preference': 3},{'preference': 3},{'preference': 2},{'preference': 1}
ystillinge327,Yuriko,Stillinger,15,15,{'preference': 5},{'preference': 3},{'preference': 4},{'preference': 2}
jdeliberto642,Johnnie,Deliberto,15,10,{'preference': 1},{'preference': 1},{'preference': 1},{'preference': 3}
mkreissler831,Mel,Kreissler,15,10,{'preference': 3},{'preference': 5},{'preference': 2},{'preference': 4}
hbrehant386,Hugo,Brehant,20,30,{'preference': 3},{'preference': 1},{'preference': 1},{'preference': 2}
jberretta650,Jimmie,Berretta,15,5,{'preference': 3},{'preference': 5},{'preference': 2},{'preference': 4}
klijewski732,Kirk,Lijewski,15,25,{'preference': 4},{'preference': 4},{'preference': 5},{'preference': 4}
rfarthing82,Rene,Farthing,5,30,{'preference': 4},{'preference': 1},{'preference': 4},{'preference': 1}
mculverson145,Maudie,Culverson,30,5,{'preference': 3},{'preference': 3},{'preference': 5},{'preference': 2}
hnogueda523,Hyman,Nogueda,30,30,{'preference': 3},{'preference': 5},{'preference': 4},{'preference': 1}
aunger628,Andrea,Unger,25,25,{'preference': 2},{'preference': 1},{'preference': 5},{'preference': 3}
enucklos762,Ernesto,Nucklos,25,15,{'preference': 2},{'preference': 1},{'preference': 4},{'preference': 2}
dclinkingb509,Dennis,Clinkingbeard,25,20,{'preference': 5},{'preference': 4},{'preference': 4},{'preference': 4}
fjergen170,Florencio,Jergen,20,10,{'preference': 4},{'preference': 5},{'preference': 2},{'preference': 3}
rskarupa652,Roy,Skarupa,5,15,{'preference': 4},{'preference': 1},{'preference': 5},{'preference': 1}
hlenters534,Humberto,Lenters,25,5,{'preference': 4},{'preference': 4},{'preference': 1},{'preference': 3}
mclukey760,Milo,Clukey,30,15,{'preference': 4},{'preference': 5},{'preference': 3},{'preference': 3}
aalim176,Analisa,Alim,30,30,{'preference': 1},{'preference': 2},{'preference': 4},{'preference': 3}
gsammer589,Glennie,Sammer,10,25,{'preference': 1},{'preference': 5},{'preference': 5},{'preference': 1}
cmigl9,Claud,Migl,25,5,{'preference': 2},{'preference': 4},{'preference': 4},{'preference': 1}
inokken327,Irena,Nokken,25,25,{'preference': 2},{'preference': 5},{'preference': 2},{'preference': 3}
msprong171,Margie,Sprong,10,25,{'preference': 5},{'preference': 5},{'preference': 4},{'preference': 4}
rfontanini173,Romeo,Fontanini,20,25,{'preference': 1},{'preference': 5},{'preference': 5},{'preference': 1}
tgarske579,Tobias,Garske,5,5,{'preference': 3},{'preference': 5},{'preference': 5},{'preference': 4}
mvandenber92,Mariella,Vandenberg,15,25,{'preference': 3},{'preference': 1},{'preference': 4},{'preference': 2}
mraghunand798,Mireya,Raghunandan,30,30,{'preference': 1},{'preference': 2},{'preference': 5},{'preference': 1}
rzappone845,Reed,Zappone,30,25,{'preference': 5},{'preference': 5},{'preference': 5},{'preference': 3}
iklopfer35,Irena,Klopfer,25,15,{'preference': 2},{'preference': 2},{'preference': 4},{'preference': 1}
lraymos914,Leida,Raymos,10,15,{'preference': 3},{'preference': 2},{'preference': 5},{'preference': 2}
mforcht422,Manuel,Forcht,25,25,{'preference': 3},{'preference': 3},{'preference': 5},{'preference': 5}
hwilhide660,Horace,Wilhide,15,15,{'preference': 3},{'preference': 4},{'preference': 2},{'preference': 5}
jbourland61,Jada,Bourland,10,10,{'preference': 3},{'preference': 4},{'preference': 1},{'preference': 1}
lpleva378,Liliana,Pleva,5,15,{'preference': 4},{'preference': 3},{'preference': 4},{'preference': 4}
emcfalls291,Elenora,Mcfalls,30,5,{'preference': 4},{'preference': 3},{'preference': 5},{'preference': 2}
jbrofman887,Josue,Brofman,20,25,{'preference': 2},{'preference': 4},{'preference': 1},{'preference': 3}
